NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,434.5205466991856
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,481.88757757397184
b38a03232f43b11c9d0788abaf060f7366053b6d,547.834735495449
70b682d9a3636be23f6120fa9d6b164eb3c6002d,-5.255133596434405
715494628a50142ce8cb17191cfe6d0f3cae0934,540.7904761979953
e656d6bad65c93fb2880f1eba5037008c8e75774,474.4999422860654
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,527.7219773222566
11539e86171bf07d3a36f09377d7f54ebcc8406a,421.26285888452145
043c544a2104aa8a9849f1a703a08d37a2f16839,491.74264803108815
76ba050e64ad100b856f0eaabd8f539d5c7dd185,466.9904360607941
8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,-5.255133596434405
db4da599aab5bb08dce27094a35fd3e36cd0abce,-5.255133596434405
940aede382ccb332fab15d413217695ec44ca765,486.15806168929936
9ad714b116da76d878dd399d187fccc2dd13dd63,517.8031936911887
dd34464a4d780b12a089347ad580418ac57a3055,502.43773548191734
f837a4cb05a5fd59d20138182f5e8c721eadd584,520.6566544794634
fbfa8cde21a692b51fb86342110b4a334a0fcfdb,-5.255133596434405
ca8477c8493b09f34d17bb287f9bacf2dd744c32,-5.255133596434405
8b0c675d7fde14953668269d378c588f0df0498b,-5.255133596434405
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,409.586086940176
3d203727f27abd83b71732d88d8cb1cc099f363b,431.4231582865054
d30d31c8ff45094e9a992c63d4a6f68b245a341a,101.13496677542557
c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,-5.255133596434405
cbc301183dec912f3513ca766bf03dd565f3a38f,513.3246207676359
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,595.5467062845589
11282da1ee78c8db45a041db4c744e33df489df0,471.98301344859306
03c67f683a415c2ea09b582248bd4cb08528c19d,561.490862143617
046e844fb06a07ba30b41521f0065a8d9c6e5024,413.8944842769428
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,448.4122539862968
153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,-5.255133596434405
a4e821c6f16fdae0a26cbbb7018b75812dfd074b,-5.255133596434405
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,418.5466150030659
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,543.7301738674237
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,499.1628974537236
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,518.7578010619202
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,469.6652017811125
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,479.30280059071475
59bfa081e020013410d9f60f91813964ba749bb2,433.6629388950977
f5e069ee3bc95998464e8ff5da048b7f999921ed,409.2909964360374
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,581.6796282597757
664f44258212a1f7e4086f2b4845d586c543fa3f,478.75875491479604
265cd7befa74a9f2a198fc57baec9858075f8419,413.9476084690141
6f9ac44919bbd204e0ef15185388fd2d4bc61253,501.5105372399826
78de1ee60b55766cc3eba4089e36c57139b66ebd,463.77251756566824
24550edb10f283ef4e953fd6a8fedbfa211bd456,-5.255133596434405
1e61a474acdc043eb39a89c17fab34bd2ea1a940,436.34493475969083
940af68ded6af2875708611051aa7ff3f134d80b,505.78819901204986
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,467.29109990037045
c76ddf6e9f80984e901b12f9462a3cf029bea290,486.2185341660639
